,PC1_news
0,-0.0794000891505703
1,-1.5681842052372448
2,-1.4598854484252997
3,-1.7524468556706447
4,-0.6635302279260308
5,-1.8452906170903334
6,0.850108589360173
7,-1.8004899118845215
8,-1.170291774572082
9,-1.847109859410484
10,-0.7941097310000739
11,-0.6562210226900621
12,0.14578705758979066
13,-0.1613416553598532
14,-0.32551822282164344
15,-1.4326112230380432
16,-0.967962854750103
17,1.0993936798516974
18,0.4022039033283698
19,-0.9443731312893173
20,0.6581287525144061
21,0.6975566096320226
22,0.3347415791659328
23,-0.3899384158896695
24,-3.151421548235683
25,-0.07534761491798615
26,-0.47990894283043106
27,-1.1450753469138535
28,1.157464169087568
29,-0.15040272926932466
30,1.9819152148646257
31,0.19632110854324397
32,-0.04656745716058748
33,1.13580412776939
34,0.16982504401806883
35,0.3046961402967637
36,-0.08342613813406231
37,1.0085405069888986
38,0.11977095931344418
39,1.9357925657364314
40,2.0312648463445475
41,1.2336552836913615
42,1.2606616615373676
43,1.7028913456367556
44,1.137074931151585
45,1.497374730355588
46,-0.16667104429579774
47,1.2673029348416747
48,0.4866812145829317
49,0.3425691117610618
